title,rating,description,air_date
S3.E7 ∙ The One with the Race Car Bed,8.1/10 (5K),Monica buys a bed from Janice's soon to be ex husband. Ross and Rachel have dinner with Rachel's father. Joey leads an acting class.,"Thu, Nov 7, 1996"
S3.E8 ∙ The One with the Giant Poking Device,8.2/10 (5K),Chandler is devastated after Joey tells him he saw Janice kissing her ex-husband. Monica accidentally bumps Ben's head into a post when she and Rachel babysit. Phoebe is paranoid if she goes to dentist someone she knows will die.,"Thu, Nov 14, 1996"
S3.E9 ∙ The One with the Football,8.9/10 (6.9K),"Old sibling rivalry between Monica and Ross resurfaces and postpones Thanksgiving dinner when the gang decide to play a game of ""touch"" football.","Thu, Nov 21, 1996"
S3.E10 ∙ The One Where Rachel Quits,8.0/10 (5.1K),Ross accidentally breaks a little girl's leg and tries to help her sell boxes of cookies which recreates Monica's childhood fixation. Rachel quits her job at Central Perk and Joey's Christmas tree selling conflicts with Phoebe's principles.,"Thu, Dec 12, 1996"
S3.E11 ∙ The One Where Chandler Can't Remember Which Sister,8.4/10 (5.2K),A drunken Chandler fools around with one of Joey's sisters - but he can't remember which one. Ross becomes skeptical when a guy at the diner gets Rachel an interview for a position at Bloomingdales.,"Thu, Jan 9, 1997"
S3.E12 ∙ The One with All the Jealousy,8.1/10 (5K),"Ross becomes insanely jealous of Mark. Monica hooks up with a co-worker, who writes her a poem with a hidden meaning. One of Joey's numerous lies on his resume is exposed when he takes part in a Broadway production.","Thu, Jan 16, 1997"
S3.E13 ∙ The One Where Monica and Richard Are Just Friends,8.1/10 (5K),"Monica's willpower is tested when she bumps into Richard. Joey and Rachel exchange their favorite books. Phoebe dates an athletic guy who doesn't realize he has a ""wardrobe malfunction"".","Thu, Jan 30, 1997"
S3.E14 ∙ The One with Phoebe's Ex-Partner,7.7/10 (5K),Phoebe is reunited with her former singing partner. Chandler dates a woman with a prosthetic leg. Ross goes to a fashion lecture with Rachel when he hears she is going with Mark.,"Thu, Feb 6, 1997"
S3.E15 ∙ The One Where Ross and Rachel Take a Break,8.4/10 (5.4K),Ross seeks solace at a party after a bitter fight with Rachel and ends up in the arms of another woman; Phoebe's date needs an interpreter to communicate.,"Thu, Feb 13, 1997"
S3.E16 ∙ The One with the Morning After,9.0/10 (6.5K),"Ross is guilt-ridden after sleeping with Chloe and desperately tries to stop Rachel from finding out and when she does, the rest of the gang listen to them argue and end up trapped in Monica's room for the rest of the night.","Thu, Feb 20, 1997"
S3.E17 ∙ The One Without the Ski Trip,8.2/10 (5K),"Monica, Chandler, Phoebe and Joey become stuck in the middle of Ross and Rachel's fight following their break-up.","Thu, Mar 6, 1997"
S3.E18 ∙ The One with the Hypnosis Tape,8.2/10 (5.1K),Monica goes out with a guy who turns out to be a software billionaire. Chandler's stop smoking hypnosis tape has an unexpected side effect. Phoebe's brother Frank makes a surprise announcement that he is getting married - to a woman twice his age.,"Thu, Mar 13, 1997"
S3.E19 ∙ The One with the Tiny T-Shirt,8.0/10 (4.9K),"Rachel goes on her first date, after splitting from Ross, with Mark. Joey clashes with his co-star in his new play. Monica continues to date Pete, even though she is still not attracted to him.","Thu, Mar 27, 1997"
S3.E20 ∙ The One with the Dollhouse,7.9/10 (4.9K),"Monica's aunt dies and leaves her an antique dollhouse that she doesn't want Phoebe to play with; Rachel regrets setting up Chandler with her boss, Joanna.","Thu, Apr 10, 1997"
S3.E21 ∙ The One with the Chick and the Duck,8.6/10 (5.2K),"Joey buys a chick for him and Chandler, Pete offers Monica a job at his restaurant but she is undecided if she should accept it. Ross shows his continued feelings for Rachel when he gives up being on TV for her.","Thu, Apr 17, 1997"
S3.E22 ∙ The One with the Screamer,8.1/10 (4.9K),"Ross witnesses Rachel's date screaming at people. Meanwhile, Joey becomes upset when Kate is offered a job in Los Angeles; Phoebe refuses to hang up the phone when she is placed on hold by her phone company.","Thu, Apr 24, 1997"
S3.E23 ∙ The One with Ross's Thing,7.9/10 (4.9K),Ross seeks medical help when he finds a mysterious skin condition on his backside. Phoebe struggles to choose between two guys; Monica can't decide what to do about Pete when she thinks he is going to propose.,"Thu, May 1, 1997"
S3.E24 ∙ The One with the Ultimate Fighting Champion,8.0/10 (5.1K),Monica struggles to support Pete in his goal to become the Ultimate Fighting Champion. Chandler is uneasy when his boss playfully slaps his butt. Rachel becomes jealous when Ross starts dating a woman that was introduced to him by Phoebe.,"Thu, May 8, 1997"
S3.E25 ∙ The One at the Beach,8.7/10 (5.6K),"While at the beach, Phoebe meets a family friend with links to her past; Ross discovers that Rachel still loves him and must decide between her and Bonnie.","Thu, May 15, 1997"
S4.E1 ∙ The One with the Jellyfish,8.9/10 (6.3K),"Ross chooses between Rachel and his bald-headed girlfriend Bonnie; Joey, Chandler, and Monica have a perilous encounter with a jellyfish at the beach.","Thu, Sep 25, 1997"
S4.E2 ∙ The One with the Cat,7.9/10 (5K),Phoebe becomes convinced that the spirit of her dead mother is inside a cat. Chandler and Joey are robbed. Monica goes on a date with a guy from her high school.,"Thu, Oct 2, 1997"
S4.E3 ∙ The One with the 'Cuffs,8.4/10 (5.1K),Monica tries to avoid criticism when she caters a party for her mother. Chandler ends up half naked and handcuffed to a chair in Rachel's boss's office. Joey tries to get educated from a salesman trying to sell him a set of encyclopedias.,"Thu, Oct 9, 1997"
S4.E4 ∙ The One with the Ballroom Dancing,8.0/10 (4.9K),Joey is forced to help Treeger learn how to dance after he threatens to have Monica and Rachel evicted. Phoebe develops a crush on one of her clients. Ross tries to help Chandler quit the gym.,"Thu, Oct 16, 1997"
S4.E5 ∙ The One with Joey's New Girlfriend,8.2/10 (4.9K),Chandler develops feelings for Joey's new girlfriend. Ross and Rachel try to make each other jealous with their dates. Phoebe's cold gives her a sexy singing voice.,"Thu, Oct 30, 1997"
S4.E6 ∙ The One with the Dirty Girl,8.4/10 (5K),Ross's new girlfriend is nearly perfect until he discovers her apartment is very dirty. Chandler buys a better birthday present for Kathy than Joey. Phoebe helps Monica cater an event. Rachel is obsessed at finishing a crossword puzzle by herself.,"Thu, Nov 6, 1997"
S4.E7 ∙ The One Where Chandler Crosses the Line,8.6/10 (5.1K),Chandler is guilt-ridden after kissing Kathy. Ross starts playing the keyboard again and everyone except Phoebe thinks he's terrible. Joey dates someone else while still attached to Kathy.,"Thu, Nov 13, 1997"
S4.E8 ∙ The One with Chandler in a Box,9.0/10 (6.3K),Chandler tries to earn Joey's forgiveness by lying in a wooden box for six hours. Monica accidentally gets ice in her eye and her doctor turns out to be Richard's son and it's discovered Rachel exchanges the gifts she received in the past.,"Thu, Nov 20, 1997"
S4.E9 ∙ The One Where They're Going to Party!,7.7/10 (4.7K),Monica ends up having to choose between a head chef position or the catering business she started with Phoebe. Rachel is close to getting a promotion but tragedy strikes. Chandler and Ross are excited when an old friend is coming to town.,"Thu, Dec 11, 1997"
S4.E10 ∙ The One with the Girl from Poughkeepsie,7.9/10 (4.7K),"In order for her kitchen staff to acknowledge her authority, Monica hires Joey so she can fire him in front of them. Chandler unsuccessfully tries to set Rachel up with a co-worker. Ross can't choose between two girls.","Thu, Dec 18, 1997"
S4.E11 ∙ The One with Phoebe's Uterus,8.4/10 (5.1K),Newlyweds Frank and Alice ask Phoebe to be their surrogate. Joey gets a job as a tour guide at Ross's museum. Chandler asks Monica and Rachel for advice on how to sexually satisfy Kathy.,"Thu, Jan 8, 1998"
S4.E12 ∙ The One with the Embryos,9.4/10 (9.3K),"Phoebe's uterus is examined for implantation of the embryos. Meanwhile, a seemingly harmless game between Chandler and Joey against Monica and Rachel escalates into a full blown contest where the stakes are raised higher and higher.","Thu, Jan 15, 1998"
S4.E13 ∙ The One with Rachel's Crush,8.1/10 (4.7K),"After seeing Kathy's play, Chandler becomes convinced she is cheating on him with her co-star. Rachel develops a crush on one of her customers. Monica becomes jealous when she realizes she is no longer the 'hostess'.","Thu, Jan 29, 1998"
S4.E14 ∙ The One with Joey's Dirty Day,8.1/10 (4.8K),"Joey arrives on the set of his latest movie unwashed, after a three-day fishing trip with his dad. Rachel sets up Ross with the niece of her boss. Chandler goes through three phrases to help recover from Kathy cheating on him.","Thu, Feb 5, 1998"
S4.E15 ∙ The One with All the Rugby,8.4/10 (5K),"Chandler runs into Janice, and finds her more irritating than ever. Meanwhile, Ross attempts to learn how to play rugby to impress Emily and Monica obsesses over a electric switch.","Thu, Feb 26, 1998"
S4.E16 ∙ The One with the Fake Party,8.0/10 (4.8K),Rachel organizes a fake good bye party for Emily so she can spend time with Joshua. A side effect from her pregnancy causes Phoebe to have a craving for meat.,"Thu, Mar 19, 1998"
S4.E17 ∙ The One with the Free Porn,8.5/10 (4.9K),Chandler and Joey discover that they're getting a free porn channel on their TV. Monica encourages Ross to tell Emily he loves her just before she leaves for London. Phoebe gets a shock when she visits her OB-GYN.,"Thu, Mar 26, 1998"
S4.E18 ∙ The One with Rachel's New Dress,8.1/10 (4.7K),Rachel has an awkward encounter with Joshua's parents. Phoebe is offered the chance to name one of the triplets. Ross becomes paranoid when Emily goes to London with Susan.,"Thu, Apr 2, 1998"
S4.E19 ∙ The One with All the Haste,8.6/10 (5K),Ross proposes to Emily. Monica and Rachel try to win their apartment back from Chandler and Joey.,"Thu, Apr 9, 1998"
S4.E20 ∙ The One with All the Wedding Dresses,8.4/10 (4.9K),"Monica tries on Emily's wedding dress, and can't stop wearing it. Jealous of Ross's proposal to Emily, Rachel tries to talk Joshua into marriage. Chandler takes Joey to a sleep clinic when he starts snoring.","Thu, Apr 16, 1998"
S4.E21 ∙ The One with the Invitation,6.9/10 (5.2K),"As Ross and Emily send out wedding invitations, he and Rachel each look back on their relationship together while Joey and Chandler look for a purpose in life.","Thu, Apr 23, 1998"
S4.E22 ∙ The One with the Worst Best Man Ever,8.3/10 (4.8K),"At first Ross chooses Joey to be his best man but after a mishap at his bachelor party, he decides he wants both Joey and Chandler as his best men. Phoebe's mood swings makes Monica and Rachel nervous.","Thu, Apr 30, 1998"
S4.E23 ∙ The One with Ross's Wedding,8.6/10 (5.2K),Phoebe tries to help Rachel deal with her feelings for Ross as the rest of the gang head to London for Ross and Emily's wedding.,"Thu, May 7, 1998"
S4.E24 ∙ The One with Ross's Wedding: Part 2,9.1/10 (6.5K),Phoebe tries to warn the gang that Rachel is coming to London to tell Ross she still loves him. Ross and Emily's parents get into an argument over the bill for the wedding. Monica and Chandler sleep together. The wedding ends with a gaffe.,"Thu, May 7, 1998"
S5.E1 ∙ The One After Ross Says Rachel,8.8/10 (5.5K),"A humiliated Emily runs away after Ross says Rachel's name at the altar. Meanwhile, Chandler and Monica struggle to get time alone together.","Thu, Sep 24, 1998"
S5.E2 ∙ The One with All the Kissing,8.9/10 (5.7K),Chandler must constantly kiss the girls to cover up a kiss he gave to Monica to hide their affair. Phoebe gets irritated when the gang constantly talk about London. Rachel puts Monica in charge of her love life. Ross tries to contact Emily.,"Thu, Oct 1, 1998"
S5.E3 ∙ The One Hundredth,8.7/10 (5.2K),"The gang take Phoebe to the hospital after she goes into labor. Monica threatens to go on a date with a male nurse after Chandler claims they are ""just goofing around."" Joey gets treated for kidney stones.","Thu, Oct 8, 1998"
S5.E4 ∙ The One Where Phoebe Hates PBS,8.1/10 (4.7K),Ross finally gets in touch with Emily and they try to work it out. Chandler gloats after Rachel reveals that Monica's secret boyfriend is the best sex she ever had. Phoebe and Joey debate if a selfless good deed exists.,"Sun, Oct 18, 1998"
S5.E5 ∙ The One with the Kips,8.6/10 (5K),Chandler and Monica go away for the weekend but spend the entire time fighting. Ross tries to tell Rachel about his agreement with Emily.,"Thu, Oct 29, 1998"
S5.E6 ∙ The One with the Yeti,7.9/10 (4.7K),Monica and Rachel think that Bigfoot has moved into their building; Emily and Ross end their marriage after Ross refuses to end his friendship with Rachel.,"Thu, Nov 5, 1998"
S5.E7 ∙ The One Where Ross Moves In,8.2/10 (4.7K),Ross moves in with Chandler and Joey after Emily's cousin kicks him out of his apartment. Phoebe dates a health inspector. Rachel plays hard-to-get with Danny.,"Thu, Nov 12, 1998"
S5.E8 ∙ The One with All the Thanksgivings,9.0/10 (6.4K),The gang remember and share with each other their worst Thanksgivings.,"Thu, Nov 19, 1998"
S5.E9 ∙ The One with Ross's Sandwich,9.0/10 (6K),Joey finds himself constantly covering for Chandler and Monica's affair. Ross becomes angry when someone at work eats his sandwich. Phoebe and Rachel enroll in a literature class.,"Thu, Dec 10, 1998"
S5.E10 ∙ The One with the Inappropriate Sister,8.0/10 (4.6K),A bored Ross wreaks havoc in Chandler and Joey's lives. Rachel is uncomfortable with Danny's unusually close relationship with his sister. Phoebe runs into trouble whilst collecting donations for the poor during Christmas.,"Thu, Dec 17, 1998"
S5.E11 ∙ The One with All the Resolutions,9.0/10 (5.8K),The gang make their New Years resolutions. Chandler struggles to not make jokes about everyone. Joey learns how to learn to play the guitar and Rachel decides not to gossip. Ross runs into trouble when he wears leather pants on a date.,"Thu, Jan 7, 1999"
S5.E12 ∙ The One with Chandler's Work Laugh,8.1/10 (4.6K),Monica becomes annoyed at how Chandler sucks up to his boss. Rachel tries to confront Monica about her relationship with Chandler. Ross hooks up with Janice when he finds out Emily is getting married.,"Thu, Jan 21, 1999"
S5.E13 ∙ The One with Joey's Bag,7.9/10 (4.6K),"Phoebe's grandmother dies, and Phoebe is shocked when her father turns up at the funeral. Meanwhile, Rachel gives Joey a ""man's bag"" for an audition, and Chandler is scared to tell Monica he doesn't like her massages.","Thu, Feb 4, 1999"
S5.E14 ∙ The One Where Everybody Finds Out,9.7/10 (13K),"When Phoebe finds out about Monica and Chandler, she and Rachel attempt to get them to confess their relationship.","Thu, Feb 11, 1999"
S5.E15 ∙ The One with the Girl Who Hits Joey,8.4/10 (4.9K),Ross makes enemies out of his new neighbors. Chandler freaks out about his relationship with Monica. Joey dates a girl who likes to playfully punch him but she doesn't realize she punches him too hard and Joey is reluctant to tell her.,"Thu, Feb 18, 1999"
S5.E16 ∙ The One with the Cop,8.5/10 (5K),"Joey has a dream about Monica and becomes convinced he is in love with her. Meanwhile, Phoebe finds a police badge in Central Perk, and Ross tries to get his new sofa into his apartment.","Thu, Feb 25, 1999"
S5.E17 ∙ The One with Rachel's Inadvertent Kiss,8.3/10 (4.7K),Rachel has an awkward encounter when she interviews for a new job. Monica becomes jealous of Phoebe and Gary. Joey searches for a 'hot girl' in Ross's building.,"Thu, Mar 18, 1999"
S5.E18 ∙ The One Where Rachel Smokes,7.8/10 (4.5K),"Rachel takes up smoking to feel more included at work. Joey auditions for a soup commercial with Ross's son Ben, but they end up competing against each other. Monica and Phoebe plan Rachel's surprise birthday party one month in advance.","Thu, Apr 8, 1999"
S5.E19 ∙ The One Where Ross Can't Flirt,8.6/10 (5K),"As Joey's grandmother visits to watch him on TV, Ross has trouble flirting with the pizza delivery girl, and Rachel tries to find an earring of Monica's that she has misplaced.","Thu, Apr 22, 1999"
S5.E20 ∙ The One with the Ride Along,8.1/10 (4.5K),The guys go on a ride-along with Gary where Ross thinks Joey saved his life which angers Chandler because he thinks Joey chose Ross over him. Rachel accidentally deletes a message from Emily on Ross's answering machine.,"Thu, Apr 29, 1999"
S5.E21 ∙ The One with the Ball,8.3/10 (4.7K),"Gary asks Phoebe to move in with him but she's reluctant. To overcome boredom, Ross and Joey start endlessly throwing a ball to each other. Rachel buys an expensive cat but it doesn't behave as she hoped it would.","Thu, May 6, 1999"
